Player,Cluster_ID
SR Tendulkar (INDIA),2
KC Sangakkara (Asia/ICC/SL),2
RT Ponting (AUS/ICC),2
ST Jayasuriya (Asia/SL),2
DPMD Jayawardene (Asia/SL),2
Inzamam-ul-Haq (Asia/PAK),2
JH Kallis (Afr/ICC/SA),2
SC Ganguly (Asia/INDIA),2
R Dravid (Asia/ICC/INDIA),2
BC Lara (ICC/WI),1
TM Dilshan (SL),1
Mohammad Yousuf (Asia/PAK),1
AC Gilchrist (AUS/ICC),3
MS Dhoni (Asia/INDIA),1
M Azharuddin (INDIA),1
AB de Villiers (Afr/SA),1
PA de Silva (SL),3
CH Gayle (ICC/WI),3
Saeed Anwar (PAK),3
S Chanderpaul (WI),1
Yuvraj Singh (Asia/INDIA),3
DL Haynes (WI),1
MS Atapattu (SL),1
ME Waugh (AUS),3
V Sehwag (Asia/ICC/INDIA),3
V Kohli (INDIA),1
HH Gibbs (SA),3
Shahid Afridi (Asia/ICC/PAK),3
SP Fleming (ICC/NZ),3
MJ Clarke (AUS),1
SR Waugh (AUS),3
A Ranatunga (SL),3
Javed Miandad (PAK),1
Younis Khan (PAK),3
HM Amla (SA),0
Saleem Malik (PAK),3
NJ Astle (NZ),3
GC Smith (Afr/SA),0
MG Bevan (AUS),1
G Kirsten (SA),0
A Flower (ZIM),0
Shoaib Malik (PAK),3
IVA Richards (WI),0
GW Flower (ZIM),3
Ijaz Ahmed (PAK),3
AR Border (AUS),3
LRPL Taylor (NZ),0
RB Richardson (WI),0
WU Tharanga (Asia/SL),0
ML Hayden (AUS/ICC),0
BB McCullum (NZ),3
DM Jones (AUS),0
DC Boon (AUS),0
JN Rhodes (SA),3
Mohammad Hafeez (PAK),0
Rameez Raja (PAK),0
RR Sarwan (WI),0
EJG Morgan (ENG/IRE),0
CL Hooper (WI),0
SR Watson (AUS),0
Tamim Iqbal (BDESH),0
SK Raina (INDIA),3
WJ Cronje (SA),0
MJ Guptill (NZ),0
MEK Hussey (AUS),0
RG Sharma (INDIA),0
IR Bell (ENG),0
A Jadeja (INDIA),0
DR Martyn (AUS),0
BRM Taylor (ZIM),0
G Gambhir (INDIA),0
ADR Campbell (ZIM),0
MN Samuels (WI),0
RS Mahanama (SL),0
CG Greenidge (WI),0
Misbah-ul-Haq (PAK),0
PD Collingwood (ENG),0
A Symonds (AUS),0
Abdul Razzaq (Asia/PAK),3
